Stimulus,ɑ,ɛ,ɪ,ɔ,ʏ,ə,i,u,y,e,o,œ,a,ɛi,œy,ɑu,Consonant
ɑ,640,0,0,4,1,9,0,0,0,0,0,0,26,0,1,11,28
,1275,5,1,27,7,13,0,1,0,0,1,0,131,3,29,45,10
ɛ,0,642,3,0,0,22,0,0,0,1,0,0,0,29,0,0,23
,42,1165,64,2,5,21,2,0,3,15,0,4,37,159,4,0,25
ɪ,2,1,611,0,1,6,32,0,0,30,0,0,0,0,0,0,37
,5,81,1125,2,25,18,90,1,17,127,0,6,4,4,0,0,43
ɔ,3,0,0,634,2,5,0,2,0,0,28,0,0,0,0,0,46
,92,1,2,1291,6,14,1,5,3,0,81,4,1,0,0,1,46
ʏ,0,1,6,1,450,144,0,0,20,1,0,59,0,0,0,0,38
,18,9,5,59,793,404,1,3,36,3,10,119,3,0,9,1,75
ə,10,5,20,8,439,259,4,5,51,4,0,46,12,1,4,0,86
,7,4,21,23,367,205,0,3,21,1,2,53,3,0,1,2,43
i,0,0,34,0,0,13,1671,0,5,2,0,0,2,0,0,0,145
,0,0,163,2,7,13,1260,1,12,3,0,5,1,1,0,0,80
u,0,0,1,18,4,29,0,1732,2,0,2,1,0,0,1,0,82
,0,1,3,47,21,21,1,1307,32,0,4,2,0,0,1,2,106
y,0,0,0,1,59,56,4,4,1588,0,0,4,0,0,0,0,156
,0,0,11,8,104,60,29,115,1048,0,1,8,0,0,4,2,158
e,0,30,1301,0,6,32,6,0,0,411,0,0,1,2,0,0,83
,1,179,989,2,7,11,30,2,0,289,1,2,0,3,1,0,31
o,4,2,0,1189,8,47,0,30,1,0,474,0,1,0,0,0,116
,23,1,0,1136,14,19,0,7,1,0,289,4,1,0,0,7,46
œ,0,9,9,2,1052,400,0,0,5,20,1,290,0,1,2,2,79
,13,4,10,18,814,373,8,5,28,7,4,191,0,0,0,1,72
a,426,23,2,0,0,66,1,1,1,0,0,0,1211,45,10,1,85
,431,90,2,0,8,7,3,0,1,0,1,1,841,76,51,1,35
ɛi,55,828,0,1,0,84,2,1,0,2,0,0,43,815,2,0,39
,149,602,4,0,5,19,3,0,1,3,0,2,248,457,18,3,34
œy,412,78,1,0,12,120,0,0,0,0,0,3,417,135,614,4,76
,602,48,3,2,24,33,1,0,1,1,0,3,452,34,306,12,26
ɑu,1484,1,2,9,3,52,1,0,0,1,0,0,54,0,6,168,91
,1307,3,2,33,2,6,0,0,0,0,1,1,59,0,12,105,17